name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris, France",2007-01-01,57.3,43.2,50.4,57.3,36.2,48,41.6,72.1,0.409,100,37.5,rain,0,0,48.8,19.4,235.5,1019.8,72.7,12,,,,,2007-01-01T08:44:14,2007-01-01T17:04:03,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-02,46.7,41.6,44.5,43.1,35.5,39,37.6,76.4,0.044,100,33.33,rain,0,0,40.1,16.1,271.6,1026,54.7,13,,,,,2007-01-02T08:44:11,2007-01-02T17:05:03,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-03,46.5,41.4,44.5,43,37.8,40.2,39.8,83.6,0.001,100,4.17,rain,0,0,38,12.6,208.7,1029.7,83.6,10.1,,,,,2007-01-03T08:44:06,2007-01-03T17:06:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-04,52,45.6,48.8,52,39.1,45.8,42.5,79.2,0.062,100,25,rain,0,0,29.9,14.7,241.1,1017.6,87.2,10.6,,,,,2007-01-04T08:43:58,2007-01-04T17:07:09,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-05,52.5,48,50,52.5,44.3,48.3,44.7,82.2,0.004,100,8.33,rain,0,0,26.2,10.9,221.8,1023,93.9,10.6,,,,,2007-01-05T08:43:46,2007-01-05T17:08:15,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-06,54.9,48.9,53,54.9,45,52.7,49.3,87.2,0.06,100,33.33,rain,0,0,36.1,19.5,217.3,1019.4,94,8.8,,,,,2007-01-06T08:43:32,2007-01-06T17:09:24,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999,07057099999,07055099999"
"Paris, France",2007-01-07,50.6,42,46.9,50.6,36.4,43.2,42.2,83.7,0.001,100,4.17,rain,0,0,24.6,12,202.5,1019,64.8,13.5,,,,,2007-01-07T08:43:15,2007-01-07T17:10:34,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-08,55.6,50.1,51.9,55.6,50.1,51.9,47.3,84.5,0.025,100,20.83,rain,0,0,31.4,15.6,209.9,1008.3,96.4,10.4,,,,,2007-01-08T08:42:54,2007-01-08T17:11:47,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07153099999,07157099999,07147099999,07150099999,07057099999,07055099999"
"Paris, France",2007-01-09,57.3,52.9,55.4,57.3,52.9,55.4,49.9,82,0.014,100,12.5,rain,0,0,27.1,14.2,211.6,1014.8,82.8,11.7,,,,,2007-01-09T08:42:31,2007-01-09T17:13:01,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-10,55.5,43.6,50.9,55.5,38.5,49.8,44.5,78.8,0.052,100,8.33,rain,0,0,33.6,16.8,213.7,1018.3,65.7,14,,,,,2007-01-10T08:42:05,2007-01-10T17:14:18,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-11,52.8,40.1,46.7,52.8,35.8,43.4,41,80.5,0.055,100,16.67,rain,0,0,42.1,19.2,222.4,1021.9,66.4,12,,,,,2007-01-11T08:41:36,2007-01-11T17:15:36,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-12,54.5,45.4,50.7,54.5,41.6,49.4,44.6,79.5,0,0,0,,0,0,31.1,14,235.3,1027.8,76.4,11.1,,,,,2007-01-12T08:41:04,2007-01-12T17:16:55,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-13,54.4,50.7,52.3,54.4,50.7,52.3,48,85.1,0.001,100,4.17,rain,0,0,24.3,12.5,219.7,1025.1,95.8,11.5,,,,,2007-01-13T08:40:29,2007-01-13T17:18:17,0.82,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-14,51.8,41,47.5,51.8,38.3,46.5,40.7,77.6,0.006,100,4.17,rain,0,0,22.6,12,246,1030.4,43.7,10.3,,,,,2007-01-14T08:39:52,2007-01-14T17:19:40,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-15,47.3,35.5,41.9,45.9,32.3,39.1,37.9,85.8,0,0,0,,0,0,18.4,7.2,162.8,1027.3,54.2,8.2,,,,,2007-01-15T08:39:12,2007-01-15T17:21:04,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
"Paris, France",2007-01-16,49.5,43.2,46.3,46.3,38.4,43.2,42,84.9,0.001,100,4.17,rain,0,0,21.4,9.8,183.7,1020.9,96,6.8,,,,,2007-01-16T08:38:29,2007-01-16T17:22:30,0.91,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999"
